GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
57,2/22/25,,Montreal Canadiens,2,5,L,,29,24,4,L 4,"18,840",2:36,
58,2/26/25,,Winnipeg Jets,1,4,L,,29,25,4,L 5,"17,831",2:28,
59,3/1/25,,San Jose Sharks,5,3,W,,30,25,4,W 1,"18,602",2:32,
60,3/3/25,@,Washington Capitals,4,5,L,SO,30,25,5,L 1,"18,573",2:59,
61,3/5/25,@,Chicago Blackhawks,4,3,W,OT,31,25,5,W 1,"17,432",2:20,
62,3/8/25,,New York Rangers,4,3,W,OT,32,25,5,W 2,"18,224",2:29,
63,3/10/25,,Detroit Red Wings,2,1,W,,33,25,5,W 3,"18,561",2:30,
64,3/11/25,@,Philadelphia Flyers,5,2,W,,34,25,5,W 4,"18,201",2:25,
65,3/13/25,,Boston Bruins,6,3,W,,35,25,5,W 5,"17,458",2:32,
66,3/15/25,@,Toronto Maple Leafs,4,2,W,,36,25,5,W 6,"19,170",2:33,
67,3/18/25,@,Montreal Canadiens,3,6,L,,36,26,5,L 1,"21,105",2:30,
68,3/20/25,,Colorado Avalanche,1,5,L,,36,27,5,L 2,"17,856",2:22,
69,3/22/25,@,New Jersey Devils,3,2,W,,37,27,5,W 1,"16,514",2:26,
70,3/25/25,@,Buffalo Sabres,2,3,L,,37,28,5,L 1,"13,955",2:26,
71,3/27/25,@,Detroit Red Wings,4,3,W,,38,28,5,W 1,"19,515",2:31,
72,3/29/25,,Columbus Blue Jackets,3,2,W,,39,28,5,W 2,"17,758",2:28,
73,3/30/25,@,Pittsburgh Penguins,0,1,L,OT,39,28,6,L 1,"16,016",2:32,
74,4/1/25,,Buffalo Sabres,2,5,L,,39,29,6,L 2,"16,446",2:27,
75,4/3/25,,Tampa Bay Lightning,2,1,W,,40,29,6,W 1,"15,187",2:24,
76,4/5/25,,Florida Panthers,3,0,W,,41,29,6,W 2,"18,611",2:26,
77,4/6/25,,Columbus Blue Jackets,4,0,W,,42,29,6,W 3,"15,616",2:21,
78,4/8/25,@,Columbus Blue Jackets,2,5,L,,42,30,6,L 1,"15,188",2:29,
79,4/11/25,,Montreal Canadiens,5,2,W,,43,30,6,W 1,"18,685",2:35,
80,4/13/25,,Philadelphia Flyers,4,3,W,OT,44,30,6,W 2,"16,059",2:28,
81,4/15/25,,Chicago Blackhawks,3,4,L,OT,44,30,7,L 1,"14,115",2:29,
82,4/17/25,,Carolina Hurricanes,7,5,W,,45,30,7,W 1,"16,193",2:28,
