GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
25,12/6/24,,Pittsburgh Penguins,4,2,W,,14,10,1,W 1,"18,006",2:29,
26,12/8/24,,Seattle Kraken,5,7,L,,14,11,1,L 1,"18,006",2:34,
27,12/9/24,,Chicago Blackhawks,1,2,L,,14,12,1,L 2,"18,006",2:14,
28,12/11/24,@,Buffalo Sabres,3,2,W,,15,12,1,W 1,"15,815",2:35,
29,12/14/24,,Los Angeles Kings,1,5,L,,15,13,1,L 1,"18,006",2:25,
30,12/15/24,@,St. Louis Blues,2,3,L,,15,14,1,L 2,"17,569",2:33,
31,12/17/24,@,Nashville Predators,0,2,L,,15,15,1,L 3,"17,159",2:29,
32,12/20/24,@,Dallas Stars,3,1,W,,16,15,1,W 1,"18,532",2:35,
33,12/22/24,,Carolina Hurricanes,1,3,L,,16,16,1,L 1,"18,006",2:26,
34,12/23/24,@,New Jersey Devils,0,5,L,,16,17,1,L 2,"16,514",2:23,
35,12/28/24,@,Tampa Bay Lightning,2,6,L,,16,18,1,L 3,"19,092",2:41,
36,12/30/24,@,Florida Panthers,3,5,L,,16,19,1,L 4,"19,556",2:30,
37,1/2/25,,Boston Bruins,2,1,W,,17,19,1,W 1,"18,006",2:33,
38,1/4/25,@,Washington Capitals,4,7,L,,17,20,1,L 1,"18,573",2:45,
39,1/5/25,@,Chicago Blackhawks,6,2,W,,18,20,1,W 1,"18,819",2:31,
40,1/7/25,,Dallas Stars,4,5,L,OT,18,20,2,L 1,"17,528",2:30,
41,1/9/25,,New Jersey Devils,3,2,W,OT,19,20,2,W 1,"18,006",2:29,
42,1/11/25,@,Vegas Golden Knights,2,1,W,,20,20,2,W 2,"18,144",2:31,
43,1/14/25,@,Colorado Avalanche,2,3,L,OT,20,20,3,L 1,"18,037",2:35,
44,1/16/25,@,Utah Hockey Club,5,3,W,,21,20,3,W 1,"11,131",2:38,
45,1/18/25,,Columbus Blue Jackets,1,0,W,SO,22,20,3,W 2,"18,006",2:28,
46,1/19/25,@,Montreal Canadiens,4,5,L,OT,22,20,4,L 1,"21,105",2:42,
47,1/21/25,,Ottawa Senators,5,0,W,,23,20,4,W 1,"17,662",2:32,
48,1/23/25,,Philadelphia Flyers,6,1,W,,24,20,4,W 2,"18,006",2:31,
49,1/26/25,,Colorado Avalanche,4,5,L,,24,21,4,L 1,"18,006",2:26,
50,1/28/25,,Carolina Hurricanes,0,4,L,,24,22,4,L 2,"17,629",2:25,
51,2/1/25,@,Boston Bruins,3,6,L,,24,23,4,L 3,"17,850",2:31,
52,2/2/25,,Vegas Golden Knights,4,2,W,,25,23,4,W 1,"18,006",2:36,
53,2/5/25,,Boston Bruins,3,2,W,,26,23,4,W 2,"18,006",2:32,
54,2/7/25,,Pittsburgh Penguins,2,3,L,,26,24,4,L 1,"18,006",2:21,
55,2/8/25,@,Columbus Blue Jackets,4,3,W,,27,24,4,W 1,"18,755",2:23,
56,2/22/25,@,Buffalo Sabres,2,8,L,,27,25,4,L 1,"19,070",2:31,
57,2/23/25,@,Pittsburgh Penguins,5,3,W,,28,25,4,W 1,"17,186",2:23,
58,2/25/25,@,New York Islanders,5,1,W,,29,25,4,W 2,"17,255",2:25,
59,2/28/25,,Toronto Maple Leafs,2,3,L,,29,26,4,L 1,"18,006",2:33,
60,3/2/25,,Nashville Predators,4,0,W,,30,26,4,W 1,"17,336",2:32,
61,3/3/25,,New York Islanders,4,0,W,,31,26,4,W 2,"17,475",2:25,
62,3/5/25,,Washington Capitals,2,3,L,OT,31,26,5,L 1,"18,006",2:42,
63,3/8/25,@,Ottawa Senators,3,4,L,OT,31,26,6,L 2,"18,224",2:29,
64,3/9/25,,Columbus Blue Jackets,3,7,L,,31,27,6,L 3,"18,006",2:26,
65,3/11/25,@,Winnipeg Jets,1,2,L,,31,28,6,L 4,"14,278",2:30,
66,3/13/25,@,Minnesota Wild,3,2,W,OT,32,28,6,W 1,"18,976",2:33,
67,3/15/25,@,Columbus Blue Jackets,4,0,W,,33,28,6,W 2,"18,464",2:16,
68,3/16/25,,Edmonton Oilers,1,3,L,,33,29,6,L 1,"18,006",2:22,
69,3/18/25,,Calgary Flames,1,2,L,,33,30,6,L 2,"17,591",2:36,
70,3/20/25,,Toronto Maple Leafs,3,4,L,,33,31,6,L 3,"17,235",2:28,
71,3/22/25,,Vancouver Canucks,5,3,W,,34,31,6,W 1,"18,006",2:34,
72,3/25/25,@,Los Angeles Kings,1,3,L,,34,32,6,L 1,"17,022",2:33,
73,3/28/25,@,Anaheim Ducks,4,5,L,OT,34,32,7,L 2,"16,197",2:36,
74,3/29/25,@,San Jose Sharks,6,1,W,,35,32,7,W 1,"17,435",2:25,
75,4/2/25,,Minnesota Wild,5,4,W,OT,36,32,7,W 2,"17,492",2:32,
76,4/5/25,@,New Jersey Devils,0,4,L,,36,33,7,L 1,"16,514",2:18,
77,4/7/25,,Tampa Bay Lightning,1,5,L,,36,34,7,L 2,"17,130",2:25,
78,4/9/25,,Philadelphia Flyers,5,8,L,,36,35,7,L 3,"17,530",2:34,
79,4/10/25,@,New York Islanders,9,2,W,,37,35,7,W 1,"17,255",2:30,
80,4/12/25,@,Carolina Hurricanes,3,7,L,,37,36,7,L 1,"18,880",2:35,
81,4/14/25,@,Florida Panthers,5,3,W,,38,36,7,W 1,"19,453",2:31,
82,4/17/25,,Tampa Bay Lightning,4,0,W,,39,36,7,W 2,"18,006",2:20,
