GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
26,12/6/24,,Washington Capitals,1,3,L,,16,8,2,L 1,"18,723",2:28,
27,12/7/24,@,Pittsburgh Penguins,2,5,L,,16,9,2,L 2,"17,290",2:24,
28,12/10/24,@,New Jersey Devils,2,1,W,OT,17,9,2,W 1,"16,091",2:30,
29,12/12/24,,Anaheim Ducks,3,2,W,,18,9,2,W 2,"18,688",2:23,
30,12/14/24,@,Detroit Red Wings,2,4,L,,18,10,2,L 1,"19,515",2:23,
31,12/15/24,,Buffalo Sabres,5,3,W,,19,10,2,W 1,"18,588",2:34,
32,12/18/24,@,Dallas Stars,5,3,W,,20,10,2,W 2,"18,532",2:30,
33,12/20/24,@,Buffalo Sabres,6,3,W,,21,10,2,W 3,"18,267",2:28,
34,12/21/24,,New York Islanders,3,6,L,,21,11,2,L 1,"18,912",2:21,
35,12/23/24,,Winnipeg Jets,2,5,L,,21,12,2,L 2,"18,923",2:28,
36,12/27/24,@,Detroit Red Wings,5,2,W,,22,12,2,W 1,"19,515",2:20,
37,12/28/24,,Washington Capitals,2,5,L,,22,13,2,L 1,"19,125",2:22,
38,12/31/24,,New York Islanders,3,1,W,,23,13,2,W 1,"18,933",2:29,
39,1/2/25,@,New York Islanders,2,1,W,,24,13,2,W 2,"17,255",2:27,
40,1/4/25,,Boston Bruins,6,4,W,,25,13,2,W 3,"18,996",2:31,
41,1/5/25,,Philadelphia Flyers,3,2,W,OT,26,13,2,W 4,"18,554",2:32,
42,1/7/25,@,Philadelphia Flyers,3,2,W,,27,13,2,W 5,"18,058",2:32,
43,1/9/25,@,Carolina Hurricanes,3,6,L,,27,14,2,L 1,"18,750",2:26,
44,1/11/25,,Vancouver Canucks,0,3,L,,27,15,2,L 2,"19,104",2:18,
45,1/14/25,,Dallas Stars,1,4,L,,27,16,2,L 3,"18,535",2:22,
46,1/16/25,,New Jersey Devils,4,3,W,OT,28,16,2,W 1,"18,577",2:35,
47,1/18/25,@,Montreal Canadiens,7,3,W,,29,16,2,W 2,"21,105",2:39,
48,1/20/25,,Tampa Bay Lightning,5,3,W,,30,16,2,W 3,"19,123",2:33,
49,1/22/25,,Columbus Blue Jackets,1,5,L,,30,17,2,L 1,"18,459",2:25,
50,1/25/25,@,Ottawa Senators,1,2,L,,30,18,2,L 2,"18,818",2:28,
51,1/29/25,,Minnesota Wild,1,3,L,,30,19,2,L 3,"18,544",2:22,
52,2/1/25,@,Edmonton Oilers,4,3,W,,31,19,2,W 1,"18,347",2:28,
53,2/4/25,@,Calgary Flames,6,3,W,,32,19,2,W 2,"18,769",2:48,
54,2/6/25,@,Seattle Kraken,3,1,W,,33,19,2,W 3,"17,151",2:36,
55,2/8/25,@,Vancouver Canucks,1,2,L,,33,20,2,L 1,"19,022",2:19,
56,2/22/25,,Carolina Hurricanes,6,3,W,,34,20,2,W 1,"18,914",2:36,
57,2/23/25,@,Chicago Blackhawks,5,2,W,,35,20,2,W 2,"19,199",2:27,
58,2/25/25,@,Boston Bruins,5,4,W,OT,36,20,2,W 3,"17,850",2:42,
59,2/28/25,@,New York Rangers,3,2,W,,37,20,2,W 4,"18,006",2:33,
60,3/2/25,@,Pittsburgh Penguins,6,5,W,OT,38,20,2,W 5,"16,284",2:26,
61,3/3/25,,San Jose Sharks,2,3,L,SO,38,20,3,L 1,"18,884",2:43,
62,3/5/25,@,Vegas Golden Knights,2,5,L,,38,21,3,L 2,"17,769",2:33,
63,3/8/25,@,Colorado Avalanche,4,7,L,,38,22,3,L 3,"18,094",2:28,
64,3/10/25,@,Utah Hockey Club,4,3,W,SO,39,22,3,W 1,"11,131",2:50,
65,3/13/25,,Florida Panthers,2,3,L,,39,23,3,L 1,"19,201",2:32,
66,3/15/25,,Ottawa Senators,2,4,L,,39,24,3,L 2,"19,170",2:33,
67,3/17/25,,Calgary Flames,6,2,W,,40,24,3,W 1,"19,033",2:35,
68,3/19/25,,Colorado Avalanche,2,1,W,,41,24,3,W 2,"18,731",2:28,
69,3/20/25,@,New York Rangers,4,3,W,,42,24,3,W 3,"17,235",2:28,
70,3/22/25,@,Nashville Predators,2,5,L,,42,25,3,L 1,"17,159",2:30,
71,3/25/25,,Philadelphia Flyers,7,2,W,,43,25,3,W 1,"18,691",2:29,
72,3/27/25,@,San Jose Sharks,5,6,L,SO,43,25,4,L 1,"15,514",2:38,
73,3/29/25,@,Los Angeles Kings,3,1,W,,44,25,4,W 1,"18,145",2:34,
74,3/30/25,@,Anaheim Ducks,3,2,W,,45,25,4,W 2,"17,174",2:29,
75,4/2/25,,Florida Panthers,3,2,W,,46,25,4,W 3,"19,066",2:23,
76,4/5/25,,Columbus Blue Jackets,5,0,W,,47,25,4,W 4,"19,179",2:20,
77,4/8/25,@,Florida Panthers,1,3,L,,47,26,4,L 1,"19,261",2:17,
78,4/9/25,@,Tampa Bay Lightning,4,3,W,OT,48,26,4,W 1,"19,092",2:32,
79,4/12/25,,Montreal Canadiens,1,0,W,OT,49,26,4,W 2,"19,252",2:31,
80,4/13/25,@,Carolina Hurricanes,4,1,W,,50,26,4,W 3,"18,905",2:19,
81,4/15/25,@,Buffalo Sabres,4,0,W,,51,26,4,W 4,"17,160",2:27,
82,4/17/25,,Detroit Red Wings,4,3,W,OT,52,26,4,W 5,"18,605",2:17,
